Designator,Mid X,Mid Y,Rotation,Layer
A1,149.99,-123.43,0.0,top
D1,160.705,-116.925,0.0,bottom
D2,154.28,-116.925,0.0,bottom
D3,147.855,-116.925,0.0,bottom
D4,141.43,-116.925,0.0,bottom
D5,157.57,-110.5,0.0,bottom
D6,151.145,-110.5,0.0,bottom
D7,144.705,-110.5,0.0,bottom
Q5,132.725,-115.5625,270.0,top
R1,166.775,-108.425,0.0,top
R2,139.325,-109.6,270.0,top
R3,162.8,-109.575,270.0,top
R4,135.225,-108.45,180.0,top
R5,134.225,-119.775,270.0,top
R7,131.775,-119.775,90.0,top
